
---	Treino para o 0-fold	---
Epochs        42500. Current error: 0.0017662765. Bit fail 0.
Epochs        42600. Current error: 0.0017662831. Bit fail 0.
Epochs        42700. Current error: 0.0017663477. Bit fail 0.
Epochs        42800. Current error: 0.0017662840. Bit fail 0.
Epochs        42900. Current error: 0.0017662909. Bit fail 0.
Epochs        43000. Current error: 0.0017662847. Bit fail 0.
Epochs        43100. Current error: 0.0017662182. Bit fail 0.
Epochs        43200. Current error: 0.0017661992. Bit fail 0.
Epochs        43300. Current error: 0.0017663208. Bit fail 0.
Epochs        43400. Current error: 0.0017663037. Bit fail 0.
Epochs        43500. Current error: 0.0017662673. Bit fail 0.
Epochs        43600. Current error: 0.0017663134. Bit fail 0.
Epochs        43700. Current error: 0.0017662902. Bit fail 0.
Epochs        43800. Current error: 0.0017663296. Bit fail 0.
Epochs        43900. Current error: 0.0017662984. Bit fail 0.
Epochs        44000. Current error: 0.0017661719. Bit fail 0.
Epochs        44100. Current error: 0.0017661665. Bit fail 0.
Epochs        44200. Current error: 0.0017661833. Bit fail 0.
Epochs        44300. Current error: 0.0017662103. Bit fail 0.
Epochs        44400. Current error: 0.0017662565. Bit fail 0.
Epochs        44500. Current error: 0.0017661876. Bit fail 0.
Epochs        44600. Current error: 0.0017662196. Bit fail 0.
Epochs        44700. Current error: 0.0017661272. Bit fail 0.
Epochs        44800. Current error: 0.0017661511. Bit fail 0.
Epochs        44900. Current error: 0.0017661940. Bit fail 0.
Epochs        45000. Current error: 0.0017661524. Bit fail 0.
Epochs        45100. Current error: 0.0017661765. Bit fail 0.
Epochs        45200. Current error: 0.0017661923. Bit fail 0.
Epochs        45300. Current error: 0.0017661895. Bit fail 0.
Epochs        45400. Current error: 0.0017661848. Bit fail 0.
Epochs        45500. Current error: 0.0017662207. Bit fail 0.
Epochs        45600. Current error: 0.0017662637. Bit fail 0.
Epochs        45700. Current error: 0.0017662626. Bit fail 0.
Epochs        45800. Current error: 0.0017662348. Bit fail 0.
Epochs        45900. Current error: 0.0017662735. Bit fail 0.
Epochs        46000. Current error: 0.0017662828. Bit fail 0.
Epochs        46100. Current error: 0.0017665995. Bit fail 0.
Epochs        46200. Current error: 0.0017666465. Bit fail 0.
Epochs        46300. Current error: 0.0017665838. Bit fail 0.
Epochs        46400. Current error: 0.0017665202. Bit fail 0.
Epochs        46500. Current error: 0.0017664923. Bit fail 0.
Epochs        46600. Current error: 0.0017664648. Bit fail 0.
Epochs        46700. Current error: 0.0017664675. Bit fail 0.
Epochs        46800. Current error: 0.0017664682. Bit fail 0.
Epochs        46900. Current error: 0.0017664284. Bit fail 0.
Epochs        47000. Current error: 0.0017664053. Bit fail 0.
Epochs        47100. Current error: 0.0017663388. Bit fail 0.
Epochs        47200. Current error: 0.0017665117. Bit fail 0.
Epochs        47300. Current error: 0.0017664224. Bit fail 0.
Epochs        47400. Current error: 0.0017665242. Bit fail 0.
Epochs        47500. Current error: 0.0017664869. Bit fail 0.
Epochs        47600. Current error: 0.0017664804. Bit fail 0.
Epochs        47700. Current error: 0.0017663913. Bit fail 0.
